ticker,trading_day,rvol30,pctchg_d,dollar_vol_d,close_d,vol_d,vwap_d
VCI,2009-07-23,10.232432966171354,0.24536376604850219,60255663.994600065,8.73,6279874.0,9.595043466572747
ZQK,2009-07-23,2.9816583438886277,0.18518518518518512,7823112.320699998,1.92,4316528.0,1.8123622320300015
ACO,2009-07-24,4.098119612443182,-0.16242578456318912,11907258.081300002,19.75,566441.0,21.021179754466928
LCC,2009-07-24,2.448490429163459,0.21739130434782616,44012187.6054,2.8,16774565.0,2.623745391036966
OMCL,2009-07-24,3.2912649604468256,0.17794253938832272,6840034.269200003,12.71,575835.0,11.87846217961743
RNWK,2009-07-24,3.8542124243707208,0.15658362989323837,8276646.744724998,13.0,678892.25,12.191399658377302
THRX,2009-07-24,2.1180130909820827,0.15662650602409656,8086693.628899999,16.32,523364.0,15.451375388639645
ARIA,2009-07-27,13.220901075970387,0.5625,18622305.29099999,2.75,7933701.0,2.34724062464668
BCRX,2009-07-27,3.6182723185263264,0.19703389830508478,55229421.55439998,11.3,5199655.0,10.621747318697102
BLC,2009-07-27,3.319746399694368,0.20930232558139528,6528531.7956000045,3.12,2212062.0,2.9513330980777233
COT,2009-07-27,8.633102969619333,-0.2477419354838709,61068168.36110003,5.83,9252733.0,6.600014110544423
KV.A,2009-07-27,4.861074006040996,-0.3846153846153846,6832770.545699996,2.0,3162396.0,2.160630909506588
IMMU,2009-07-28,6.480303529554782,0.1659388646288209,25739061.375600036,5.34,5064179.0,5.0825733797324375
KFN,2009-07-28,6.450431731962752,0.1586206896551725,25398114.208799988,1.68,14823689.0,1.7133464017492535
UTA,2009-07-28,5.1151979193867705,0.2382671480144405,25631684.715599984,13.72,2007189.0,12.769940805574356
VECO,2009-07-28,7.213225672914052,0.20363636363636362,67982044.08039999,19.86,3574960.0,19.016169154452076
VM,2009-07-28,12.303272102138898,0.2720763723150357,48486596.97490001,5.33,9326657.0,5.198711282606405
ARIA,2009-07-29,4.82406822054197,-0.1724137931034483,18979669.964000005,2.4,7640494.0,2.484089374849323
ATAC,2009-07-29,2.378583738469177,0.1687388987566607,7496491.089499999,19.74,374167.0,20.035147646639064
AXL,2009-07-29,3.643161452338619,0.6641791044776117,43454900.10370001,2.23,23931649.0,1.8157921380052002
ARIA,2009-07-30,3.8013598961901587,-0.16666666666666663,16520643.438499978,2.0,6848244.0,2.4123911821044897
AXL,2009-07-30,2.7788742330764826,-0.2152466367713004,35433715.63650001,1.75,19555228.0,1.811981718469353
GGC,2009-07-30,2.5362196417583944,1.1875352112676056,39974803.98610005,15.5315,2654660.0,15.058351723422227
PMT,2009-07-30,18.423659763156646,1.862481315396113,126081598.74240011,19.15,6598010.0,19.10903420006943
RGR,2009-07-30,4.730941233282244,-0.153047619047619,24596861.189800005,12.4502,1832684.0,13.421223293159107
TEN,2009-07-30,2.287045544308784,0.19537275064267345,40134481.36369998,13.95,2920004.0,13.74466657021702
VCI,2009-07-30,3.313414248301235,0.28605769230769207,23304237.672299996,10.7,2197123.0,10.60670598428035
AXL,2009-07-31,2.6186014403603988,0.25714285714285734,41619279.977899976,2.2,19910281.0,2.0903411648434282
DW,2009-07-31,3.401019987081149,0.2511001727678719,12022378.453500003,19.19,628841.0,19.118312027205608
N,2009-07-31,3.3777147437240864,-0.19866666666666666,8046105.920599999,12.02,658110.0,12.226080625731258
SRZ,2009-07-31,4.819249156338205,0.20500000000000007,9060700.320599997,2.41,3928063.0,2.3066586051700284
TEN,2009-07-31,2.957198008030475,0.16129032258064524,63844806.983000025,16.2,4068466.0,15.6925993686564
AXL,2009-08-03,2.7616956006746323,0.2909090909090908,61488517.67389997,2.84,22808730.0,2.6958325901485956
CVGI,2009-08-03,7.189312277915799,0.8159203980099503,6601680.6548999995,3.65,2342722.0,2.8179530712137417
KERX,2009-08-03,12.794494805513736,0.45535714285714257,30133304.851100028,1.63,17974410.0,1.6764558531323157
KFN,2009-08-03,3.77671179222538,0.3414634146341464,28323810.8128,2.75,11409913.0,2.4823862208940595
WNC,2009-08-03,5.07941214578227,0.8072289156626506,5686938.753299999,1.5,4737064.0,1.2005197213506085
ABK,2009-08-04,5.175353473802976,0.24342105263157876,30244188.57319998,0.945,33328562.0,0.9074555503834812
EK,2009-08-04,3.3562978111022375,0.2546012269938651,69984227.05500004,4.09,18258750.0,3.832914468679402
FNSR,2009-08-04,3.4814307425475333,0.1785714285714286,7445944.093775,5.94,1283473.875,5.8013990302490575
IEC,2009-08-04,8.81351705936059,0.23142250530785557,5494367.204900001,5.8,995579.0,5.518765667917866
MLNX,2009-08-04,6.458456324953426,-0.17439024390243896,25272054.85630001,13.54,1757307.0,14.3811268357208
TLB,2009-08-04,2.8000393275608526,0.20668372429148985,12337708.233100008,6.1781,2102711.0,5.867524463942029
UTI,2009-08-04,4.469627084107746,0.16593613024420795,9924012.997100003,18.62,558326.0,17.774585093834073
UTR,2009-08-04,2.073642170180359,0.15460413049371047,9575060.337399999,15.76,621911.0,15.396190672620357
ABK,2009-08-05,5.209539879346143,0.39682539682539697,44500277.23179999,1.32,39306035.0,1.132148720464936
AOB,2009-08-05,6.8259864368915375,-0.1760904684975768,48479183.6054,10.2,4501988.0,10.768394674841426
AXL,2009-08-05,3.8639774904627586,0.4122137404580153,120615813.17560002,3.7,37494158.0,3.2169228383685806
BKI,2009-08-05,4.046426107521593,0.25987841945288737,6105549.638600002,8.29,786535.0,7.762591160723938
CATM,2009-08-05,11.752295971939429,0.5384615384615385,5121003.2743,7.0,815189.0,6.281982796995543
CIT,2009-08-05,2.7076171956983717,0.4509803921568627,394201219.5440999,1.48,292308378.0,1.3485799560083083
CLMT,2009-08-05,5.064911047077541,-0.1540697674418604,8578941.361599999,14.55,586085.0,14.637708457988174
EXM,2009-08-05,2.827610824832773,-0.17699999999999994,44252837.06920005,8.23,4842066.0,9.13924698035922
FNM,2009-08-05,8.539528067895526,0.3464526152252718,83984503.5653001,0.78,117076535.0,0.7173470206075035
FRE,2009-08-05,7.343302009216999,0.39949999999999997,40410677.87619997,0.8397,52965475.0,0.7629626256764424
Hw,2009-08-05,3.3436521334045852,0.18789808917197437,11507870.26109999,3.73,3307425.0,3.4794047517630755
KFN,2009-08-05,2.300977440774577,0.15094339622641506,22561300.744700003,3.05,7965317.0,2.8324422925917454
NFP,2009-08-05,4.615124493037923,0.16798941798941813,14737673.483999996,8.83,1669125.0,8.829580459222644
OWW,2009-08-05,8.359181995616426,0.25885558583106283,14098178.508099992,4.62,3055670.0,4.613776523021135
CBLI,2009-08-06,5.185054704879858,-0.2203947368421052,7279533.0571,4.74,1328532.0,5.479381043964316
CNB,2009-08-06,4.22752798394543,0.29870129870129847,12708637.735899996,0.7,19541050.0,0.6503559294869005
CSIQ,2009-08-06,4.730024962916146,0.17730936143831366,185433233.09059992,18.99,9971178.0,18.596923361572717
HSNI,2009-08-06,3.699366418099176,0.2497409326424871,15456888.58159999,12.06,1322861.0,11.68443894075038
KFN,2009-08-06,2.3021443691492154,-0.16393442622950816,23485643.11989996,2.55,8556115.0,2.7448956821992176
LEAP,2009-08-06,4.633469999394843,-0.2221762515515101,266588196.07909992,18.8,13054577.0,20.421052024826228
ROCK,2009-08-06,3.699409252823094,0.22048997772828516,7102765.902499996,10.96,638082.0,11.131431230625525
RTK,2009-08-06,12.674392983071563,-0.25,15800777.661829995,7.5,1958765.4999999988,8.066702043623907
SRZ,2009-08-06,3.220195153808739,-0.30327868852459017,6162025.1796999965,1.7,3295739.0,1.8696945297245917
SSW,2009-08-06,2.5456697210337036,-0.15333333333333343,7648993.776799996,6.35,1169945.0,6.537908856228281
ABK,2009-08-07,4.5808479542563445,-0.22058823529411764,52348227.84579993,1.06,47868806.0,1.093577054038071
AGM,2009-08-07,2.48125580431749,0.16620879120879128,6778241.776799998,8.49,851941.0,7.956233796471819
AYR,2009-08-07,2.4577098299843243,0.23175416133162607,9787007.381600002,9.62,1084656.0,9.02314409508637
CBS,2009-08-07,4.570093773968767,0.17608695652173934,514131423.27170044,10.82,48978818.0,10.497015735898332
CNB,2009-08-07,4.8117219204658035,-0.24285714285714277,14405295.518499997,0.53,25941966.0,0.5552892760132365
FFG,2009-08-07,4.148554760588391,0.45066666666666677,7462700.897000002,16.32,507743.0,14.697791790334877
FNM,2009-08-07,3.865152955308616,0.2142857142857144,57419916.325999945,0.85,81837231.0,0.7016356201739028
FRE,2009-08-07,3.5957378168954923,0.641025641025641,32810625.143599976,1.28,38075186.0,0.8617324980001404
MEG,2009-08-07,3.1320435796490456,0.30929791271347273,9012767.742199995,6.9,1272376.0,7.083415391519484
AGM,2009-08-10,2.863935104307077,0.3191990577149586,8745279.000900006,11.2,980893.0,8.915629942205731
FCH,2009-08-10,3.828333969519609,0.15172413793103456,6788173.3911,3.34,2166347.0,3.1334654102505275
FNM,2009-08-10,9.717873255979319,0.3999999999999999,266963657.77089986,1.19,287858074.0,0.9274141734544499
FRE,2009-08-10,17.230154252244763,0.4296875,539366086.7090997,1.83,392814396.0,1.37308126229951
LGF,2009-08-10,2.596330177780249,0.23335388923148725,13376492.462499993,7.4,2077660.0,6.438249021735988
MPG,2009-08-10,5.653503680619794,0.15555555555555567,5591294.867099997,1.04,5647406.0,0.9900642643897033
NEP,2009-08-10,5.494592760565114,0.1802973977695166,8574171.397799993,6.35,1380819.0,6.209482486698107
RAS,2009-08-10,7.459258312003907,0.41891891891891886,8390573.299211942,6.3,1468231.6657000016,5.714747539661331
RTK,2009-08-10,13.343311900906414,1.265625,40333191.04103999,14.5,3695893.9999999995,10.912972893984511
SSP,2009-08-10,4.639699545480822,0.39745916515426516,17350860.583800003,7.7,2464092.0,7.0414824543077135
AGM,2009-08-11,9.232821042685012,-0.22232142857142845,42194820.726600036,8.71,4411918.0,9.56382705358532
FRE,2009-08-11,9.76017722274608,-0.1693989071038252,536168276.8461999,1.52,321542538.0,1.6674878545811562
RTK,2009-08-11,5.456892303230162,-0.18620689655172407,22837982.903149985,11.8,1804291.7,12.6575890711851
SSP,2009-08-11,3.158457122067664,-0.24805194805194808,11199085.461600002,5.79,1819347.0,6.155552218240941
ADCT,2009-08-12,8.24784090173202,0.2622720897615709,153759015.12369993,9.0,17745994.0,8.664435202880151
BEE,2009-08-12,3.175780110926575,0.2999999999999998,5565166.118700003,1.43,4179879.0,1.3314179952816825
CVGI,2009-08-12,3.0536399377283865,0.2663185378590076,5946272.5046999995,4.85,1277327.0,4.655246859026701
GFG,2009-08-12,6.172321124748955,0.6153846153846152,15375434.248499991,0.42,40096006.0,0.3834654815369888
RAS,2009-08-12,6.142580398486851,0.19999999999999996,10103834.980696823,6.84,1518304.9994000006,6.6546807029481085
GFG,2009-08-13,7.518038586150445,0.5,39144732.73960003,0.63,63320475.0,0.6182002383841882
KOG,2009-08-13,6.983549787588388,0.32352941176470584,6632493.284299999,1.35,5589329.0,1.1866349760946258
UTA,2009-08-13,3.1948845127463206,-0.18435415403274713,29591654.63880001,13.45,2015752.0,14.680206016811598
CORS,2009-08-14,8.4168246725432,0.30201342281879184,13877668.181299997,0.485,26860924.0,0.5166489500249507
GFG,2009-08-14,3.982070234585415,-0.19047619047619047,21338650.1388,0.51,37767458.0,0.5650009629665835
